[2023-12-21 16:15:47,995][INFO] 
===== FNN_big-0.3-50-small-2023-12-21-16-15-47 configuration =====
  exp_fn: test_goal_test
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 800
  tiny_width: 0.001
  lr: 0.001
  batch_size: 50
  min_epochs: 25
  max_epochs: 45
  use_scheduler: True
  no_pts: False
  no_abs: False
  no_refine: False
  quiet: False
  debug: False
  net: FNN_big
  no_repair: False
  repair_number: 50
  repair_batchsize: 1
  patch_size: small
  repair_radius: 0.3
  divided_repair: 1
  accuracy_loss: <function MnistArgParser.setup_rest.<locals>.ce_loss at 0x7f5c6a982f70>
  sample_amount: 5000
  reset_params: False
  train_datasize: 10000
  test_datasize: 10000
  repair_batch_size: 50
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7f5c6a982dc0>
===== end of FNN_big-0.3-50-small-2023-12-21-16-15-47 configuration =====

[2023-12-21 16:15:47,995][INFO] ===== start repair ======
[2023-12-21 16:15:47,995][INFO] For pgd attack net
[2023-12-21 16:15:48,094][INFO] --big patch network: --- PatchNet ---
Name: small patch network 49
--- End of PatchNet ---
[2023-12-21 16:15:48,235][INFO] --load the trainset and testset as testing set
[2023-12-21 16:15:48,242][INFO] --evaluate the original net on testset
[2023-12-21 16:15:48,243][INFO] --For testset, out of 10000 items, ratio 0.9718
[2023-12-21 16:15:48,243][INFO] --evaluate the repaired net on testset and get the bitmap
[2023-12-21 16:15:48,284][INFO] --For testset, out of 10000 items, ratio 0.9718
[2023-12-21 16:15:48,284][INFO] --adv training
[2023-12-21 16:15:48,296][INFO] --epoch 0 loss 2.3067270517349243
[2023-12-21 16:15:48,303][INFO] --epoch 1 loss 2.304626226425171
[2023-12-21 16:15:48,309][INFO] --epoch 2 loss 2.301758050918579
[2023-12-21 16:15:48,316][INFO] --epoch 3 loss 2.2966997623443604
[2023-12-21 16:15:48,323][INFO] --epoch 4 loss 2.294007897377014
[2023-12-21 16:15:48,329][INFO] --epoch 5 loss 2.29046630859375
[2023-12-21 16:15:48,336][INFO] --epoch 6 loss 2.2878005504608154
[2023-12-21 16:15:48,343][INFO] --epoch 7 loss 2.285534381866455
[2023-12-21 16:15:48,350][INFO] --epoch 8 loss 2.285048007965088
[2023-12-21 16:15:48,356][INFO] --epoch 9 loss 2.283059597015381
[2023-12-21 16:15:48,363][INFO] --epoch 10 loss 2.2817671298980713
[2023-12-21 16:15:48,370][INFO] --epoch 11 loss 2.279515027999878
[2023-12-21 16:15:48,376][INFO] --epoch 12 loss 2.2803505659103394
[2023-12-21 16:15:48,383][INFO] --epoch 13 loss 2.279549479484558
[2023-12-21 16:15:48,390][INFO] --epoch 14 loss 2.279530644416809
[2023-12-21 16:15:48,397][INFO] --epoch 15 loss 2.2801358699798584
[2023-12-21 16:15:48,404][INFO] --epoch 16 loss 2.281609535217285
[2023-12-21 16:15:48,411][INFO] --epoch 17 loss 2.280656099319458
[2023-12-21 16:15:48,417][INFO] --epoch 18 loss 2.278955817222595
[2023-12-21 16:15:48,424][INFO] --epoch 19 loss 2.2793140411376953
[2023-12-21 16:15:48,431][INFO] --epoch 20 loss 2.279701828956604
[2023-12-21 16:15:48,438][INFO] --epoch 21 loss 2.278039813041687
[2023-12-21 16:15:48,444][INFO] --epoch 22 loss 2.2777748107910156
[2023-12-21 16:15:48,451][INFO] --epoch 23 loss 2.2773877382278442
[2023-12-21 16:15:48,458][INFO] --epoch 24 loss 2.2764434814453125
[2023-12-21 16:15:48,465][INFO] --epoch 25 loss 2.2776163816452026
[2023-12-21 16:15:48,472][INFO] --epoch 26 loss 2.275293469429016
[2023-12-21 16:15:48,480][INFO] --epoch 27 loss 2.2756481170654297
[2023-12-21 16:15:48,487][INFO] --epoch 28 loss 2.2754307985305786
[2023-12-21 16:15:48,493][INFO] --epoch 29 loss 2.274434208869934
[2023-12-21 16:15:48,499][INFO] --epoch 30 loss 2.274567723274231
[2023-12-21 16:15:48,507][INFO] --epoch 31 loss 2.2749199867248535
[2023-12-21 16:15:48,514][INFO] --epoch 32 loss 2.2738949060440063
[2023-12-21 16:15:48,520][INFO] --epoch 33 loss 2.2743372917175293
[2023-12-21 16:15:48,527][INFO] --epoch 34 loss 2.274154543876648
[2023-12-21 16:15:48,534][INFO] --epoch 35 loss 2.2743608951568604
[2023-12-21 16:15:48,540][INFO] --epoch 36 loss 2.274303436279297
[2023-12-21 16:15:48,546][INFO] --epoch 37 loss 2.2740570306777954
[2023-12-21 16:15:48,553][INFO] --epoch 38 loss 2.273748755455017
[2023-12-21 16:15:48,559][INFO] --epoch 39 loss 2.273619532585144
[2023-12-21 16:15:48,565][INFO] --epoch 40 loss 2.2735191583633423
[2023-12-21 16:15:48,572][INFO] --epoch 41 loss 2.2736306190490723
[2023-12-21 16:15:48,578][INFO] --epoch 42 loss 2.2735313177108765
[2023-12-21 16:15:48,584][INFO] --epoch 43 loss 2.273480176925659
[2023-12-21 16:15:48,591][INFO] --epoch 44 loss 2.273363709449768
[2023-12-21 16:15:48,597][INFO] --epoch 45 loss 2.273305654525757
[2023-12-21 16:15:48,604][INFO] --epoch 46 loss 2.2733051776885986
[2023-12-21 16:15:48,610][INFO] --epoch 47 loss 2.273297905921936
[2023-12-21 16:15:48,617][INFO] --epoch 48 loss 2.2733001708984375
[2023-12-21 16:15:48,623][INFO] --epoch 49 loss 2.27328884601593
[2023-12-21 16:15:48,630][INFO] --epoch 50 loss 2.273287534713745
[2023-12-21 16:15:48,637][INFO] --epoch 51 loss 2.2732897996902466
[2023-12-21 16:15:48,644][INFO] --epoch 52 loss 2.2732927799224854
[2023-12-21 16:15:48,651][INFO] --epoch 53 loss 2.2733075618743896
[2023-12-21 16:15:48,658][INFO] --epoch 54 loss 2.2733047008514404
[2023-12-21 16:15:48,665][INFO] --epoch 55 loss 2.27333402633667
[2023-12-21 16:15:48,673][INFO] --epoch 56 loss 2.2732932567596436
[2023-12-21 16:15:48,680][INFO] --epoch 57 loss 2.273371696472168
[2023-12-21 16:15:48,687][INFO] --epoch 58 loss 2.273449659347534
[2023-12-21 16:15:48,694][INFO] --epoch 59 loss 2.273413300514221
[2023-12-21 16:15:48,701][INFO] --epoch 60 loss 2.2733535766601562
[2023-12-21 16:15:48,707][INFO] --epoch 61 loss 2.2733219861984253
[2023-12-21 16:15:48,715][INFO] --epoch 62 loss 2.2733404636383057
[2023-12-21 16:15:48,721][INFO] --epoch 63 loss 2.2733782529830933
[2023-12-21 16:15:48,728][INFO] --epoch 64 loss 2.2729833126068115
[2023-12-21 16:15:48,735][INFO] --epoch 65 loss 2.273333430290222
[2023-12-21 16:15:48,743][INFO] --epoch 66 loss 2.2732115983963013
[2023-12-21 16:15:48,750][INFO] --epoch 67 loss 2.2729190587997437
[2023-12-21 16:15:48,757][INFO] --epoch 68 loss 2.2727197408676147
[2023-12-21 16:15:48,764][INFO] --epoch 69 loss 2.2731757164001465
[2023-12-21 16:15:48,771][INFO] --epoch 70 loss 2.2735843658447266
[2023-12-21 16:15:48,778][INFO] --epoch 71 loss 2.273668885231018
[2023-12-21 16:15:48,785][INFO] --epoch 72 loss 2.2728488445281982
[2023-12-21 16:15:48,791][INFO] --epoch 73 loss 2.2739312648773193
[2023-12-21 16:15:48,798][INFO] --epoch 74 loss 2.2731531858444214
[2023-12-21 16:15:48,805][INFO] --epoch 75 loss 2.275269389152527
[2023-12-21 16:15:48,812][INFO] --epoch 76 loss 2.272794723510742
[2023-12-21 16:15:48,819][INFO] --epoch 77 loss 2.2725143432617188
[2023-12-21 16:15:48,825][INFO] --epoch 78 loss 2.2740551233291626
[2023-12-21 16:15:48,832][INFO] --epoch 79 loss 2.273081064224243
[2023-12-21 16:15:48,838][INFO] --epoch 80 loss 2.273881435394287
[2023-12-21 16:15:48,845][INFO] --epoch 81 loss 2.2725826501846313
[2023-12-21 16:15:48,851][INFO] --epoch 82 loss 2.2723089456558228
[2023-12-21 16:15:48,858][INFO] --epoch 83 loss 2.2716020345687866
[2023-12-21 16:15:48,866][INFO] --epoch 84 loss 2.272006034851074
[2023-12-21 16:15:48,875][INFO] --epoch 85 loss 2.2722840309143066
[2023-12-21 16:15:48,882][INFO] --epoch 86 loss 2.2715678215026855
[2023-12-21 16:15:48,890][INFO] --epoch 87 loss 2.272974967956543
[2023-12-21 16:15:48,898][INFO] --epoch 88 loss 2.2746506929397583
[2023-12-21 16:15:48,905][INFO] --epoch 89 loss 2.2741661071777344
[2023-12-21 16:15:48,913][INFO] --epoch 90 loss 2.27232027053833
[2023-12-21 16:15:48,920][INFO] --epoch 91 loss 2.274918794631958
[2023-12-21 16:15:48,928][INFO] --epoch 92 loss 2.2722827196121216
[2023-12-21 16:15:48,935][INFO] --epoch 93 loss 2.2720001935958862
[2023-12-21 16:15:48,943][INFO] --epoch 94 loss 2.2720348834991455
[2023-12-21 16:15:48,950][INFO] --epoch 95 loss 2.271330952644348
[2023-12-21 16:15:48,959][INFO] --epoch 96 loss 2.272461771965027
[2023-12-21 16:15:48,965][INFO] --epoch 97 loss 2.271844983100891
[2023-12-21 16:15:48,972][INFO] --epoch 98 loss 2.2717702388763428
[2023-12-21 16:15:48,979][INFO] --epoch 99 loss 2.2758448123931885
[2023-12-21 16:15:48,985][INFO] --epoch 100 loss 2.2736735343933105
[2023-12-21 16:15:48,992][INFO] --epoch 101 loss 2.273603081703186
[2023-12-21 16:15:48,999][INFO] --epoch 102 loss 2.272045850753784
[2023-12-21 16:15:49,006][INFO] --epoch 103 loss 2.2713141441345215
[2023-12-21 16:15:49,015][INFO] --epoch 104 loss 2.2720342874526978
[2023-12-21 16:15:49,023][INFO] --epoch 105 loss 2.271493911743164
[2023-12-21 16:15:49,031][INFO] --epoch 106 loss 2.269875645637512
[2023-12-21 16:15:49,038][INFO] --epoch 107 loss 2.269841194152832
[2023-12-21 16:15:49,047][INFO] --epoch 108 loss 2.271518111228943
[2023-12-21 16:15:49,055][INFO] --epoch 109 loss 2.2709633111953735
[2023-12-21 16:15:49,065][INFO] --epoch 110 loss 2.272613048553467
[2023-12-21 16:15:49,074][INFO] --epoch 111 loss 2.2722268104553223
[2023-12-21 16:15:49,082][INFO] --epoch 112 loss 2.270229935646057
[2023-12-21 16:15:49,090][INFO] --epoch 113 loss 2.270124077796936
[2023-12-21 16:15:49,097][INFO] --epoch 114 loss 2.270574927330017
[2023-12-21 16:15:49,106][INFO] --epoch 115 loss 2.273288607597351
[2023-12-21 16:15:49,115][INFO] --epoch 116 loss 2.271331787109375
[2023-12-21 16:15:49,124][INFO] --epoch 117 loss 2.2710927724838257
[2023-12-21 16:15:49,134][INFO] --epoch 118 loss 2.269824981689453
[2023-12-21 16:15:49,142][INFO] --epoch 119 loss 2.2717281579971313
[2023-12-21 16:15:49,151][INFO] --epoch 120 loss 2.2720528841018677
[2023-12-21 16:15:49,161][INFO] --epoch 121 loss 2.269422173500061
[2023-12-21 16:15:49,169][INFO] --epoch 122 loss 2.268958806991577
[2023-12-21 16:15:49,179][INFO] --epoch 123 loss 2.268813133239746
[2023-12-21 16:15:49,187][INFO] --epoch 124 loss 2.268608331680298
[2023-12-21 16:15:49,196][INFO] --epoch 125 loss 2.269562244415283
[2023-12-21 16:15:49,205][INFO] --epoch 126 loss 2.2698553800582886
[2023-12-21 16:15:49,213][INFO] --epoch 127 loss 2.2692519426345825
[2023-12-21 16:15:49,221][INFO] --epoch 128 loss 2.269188165664673
[2023-12-21 16:15:49,230][INFO] --epoch 129 loss 2.2681946754455566
[2023-12-21 16:15:49,238][INFO] --epoch 130 loss 2.2690742015838623
[2023-12-21 16:15:49,246][INFO] --epoch 131 loss 2.267974853515625
[2023-12-21 16:15:49,254][INFO] --epoch 132 loss 2.2675764560699463
[2023-12-21 16:15:49,264][INFO] --epoch 133 loss 2.267781615257263
[2023-12-21 16:15:49,273][INFO] --epoch 134 loss 2.268210291862488
[2023-12-21 16:15:49,282][INFO] --epoch 135 loss 2.2677690982818604
[2023-12-21 16:15:49,292][INFO] --epoch 136 loss 2.267772078514099
[2023-12-21 16:15:49,302][INFO] --epoch 137 loss 2.2675594091415405
[2023-12-21 16:15:49,311][INFO] --epoch 138 loss 2.267543315887451
[2023-12-21 16:15:49,320][INFO] --epoch 139 loss 2.267462134361267
[2023-12-21 16:15:49,330][INFO] --epoch 140 loss 2.267341375350952
[2023-12-21 16:15:49,339][INFO] --epoch 141 loss 2.2676703929901123
[2023-12-21 16:15:49,348][INFO] --epoch 142 loss 2.2671265602111816
[2023-12-21 16:15:49,357][INFO] --epoch 143 loss 2.2672199010849
[2023-12-21 16:15:49,367][INFO] --epoch 144 loss 2.2671291828155518
[2023-12-21 16:15:49,378][INFO] --epoch 145 loss 2.2671008110046387
[2023-12-21 16:15:49,387][INFO] --epoch 146 loss 2.267059326171875
[2023-12-21 16:15:49,397][INFO] --epoch 147 loss 2.267064690589905
[2023-12-21 16:15:49,406][INFO] --epoch 148 loss 2.2670607566833496
[2023-12-21 16:15:49,416][INFO] --epoch 149 loss 2.267043709754944
[2023-12-21 16:15:49,426][INFO] --epoch 150 loss 2.267041325569153
[2023-12-21 16:15:49,437][INFO] --epoch 151 loss 2.26704204082489
[2023-12-21 16:15:49,447][INFO] --epoch 152 loss 2.2670475244522095
[2023-12-21 16:15:49,456][INFO] --epoch 153 loss 2.2670624256134033
[2023-12-21 16:15:49,466][INFO] --epoch 154 loss 2.2670810222625732
[2023-12-21 16:15:49,476][INFO] --epoch 155 loss 2.267079472541809
[2023-12-21 16:15:49,485][INFO] --epoch 156 loss 2.2670950889587402
[2023-12-21 16:15:49,494][INFO] --epoch 157 loss 2.2670955657958984
[2023-12-21 16:15:49,503][INFO] --epoch 158 loss 2.267088770866394
[2023-12-21 16:15:49,514][INFO] --epoch 159 loss 2.2672985792160034
[2023-12-21 16:15:49,523][INFO] --epoch 160 loss 2.2674710750579834
